ID_Prot;Organism
Q9W1W9;Drosophila
Q9VYQ5;Drosophila
Q9VFJ0;Drosophila
Q9VYQ7;Drosophila
Q9VYQ8;Drosophila
Q9VB11;Drosophila
Q9VG40;Drosophila
Q6WV20;Drosophila
Q9VB14;Drosophila
Q7K1Z5;Drosophila
P45843;Drosophila
Q9V8Y2;Drosophila
P25172;Drosophila
P25171;Drosophila
Q9VEI3;Drosophila
Q03445;Drosophila
Q9VFJ3;Drosophila
Q24564;Drosophila
P40797;Drosophila
P40794;Drosophila
Q24567;Drosophila
P40792;Drosophila
P40793;Drosophila
Q24562;Drosophila
Q24563;Drosophila
Q9VYN8;Drosophila
Q24568;Drosophila
P40798;Drosophila
Q7K3B9;Drosophila
Q7KNS3;Drosophila
P91685;Drosophila
Q9VCR7;Drosophila
Q9VCR6;Drosophila
Q9VCR3;Drosophila
Q03042;Drosophila
Q03043;Drosophila
Q9VSZ6;Drosophila
Q9V979;Drosophila
Q9VA02;Drosophila
Q8IRC7;Drosophila
Q9VA00;Drosophila
Q9V7Y2;Drosophila
Q9VIZ0;Drosophila
O01668;Drosophila
Q94918;Drosophila
P16554;Drosophila
Q7KRY6;Drosophila
Q7KRY7;Drosophila
P56175;Drosophila
Q94913;Drosophila
P52295;Drosophila
O01666;Drosophila
Q94915;Drosophila
P07713;Drosophila
P40421;Drosophila
P40423;Drosophila
Q9VX10;Drosophila
P40427;Drosophila
Q9VUR0;Drosophila
Q9VUR3;Drosophila
Q9W3N6;Drosophila
Q9VUR7;Drosophila
A1Z6E0;Drosophila
Q9VWB9;Drosophila
Q9W3W8;Drosophila
P13217;Drosophila
P08841;Drosophila
P39572;Drosophila
Q9VE86;Drosophila
Q9W3W5;Drosophila
Q9W401;Drosophila
Q9VEG6;Drosophila
A1Z9E2;Drosophila
Q9W4Q9;Drosophila
Q9Y0I1;Drosophila
P16163;Drosophila
P31369;Drosophila
P31368;Drosophila
Q8I7Q0;Drosophila
Q9W3Y5;Drosophila
Q9W3Y4;Drosophila
Q9VE61;Drosophila
P18491;Drosophila
